subject;chapter;subchapter;question;options;correct_answer
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which Flexbox property is used to distribute extra space in a flex container when there is space available?";""A) flex-grow"; "B) flex-shrink"; "C) flex-basis"; "D) flex-wrap"";"A) flex-grow"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to set the size of a row or column?";""A) grid-size"; "B) grid-template"; "C) grid-row"; "D) grid-column"";"B) grid-template"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"How can you make a specific item take up the full height of a grid container in Grid layout?";""A) grid-row: span 2;"; "B) grid-column: span 2;"; "C) grid-template-rows: auto;"; "D) grid-template-columns: auto;"";"A) grid-row: span 2;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which value of justify-content in Flexbox will center the items along the horizontal axis?";""A) center"; "B) space-between"; "C) flex-start"; "D) space-around"";"A) center"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In a Grid layout, how can you place an item in the second row and third column?";""A) grid-row: 2; grid-column: 3;"; "B) grid-row: 3; grid-column: 2;"; "C) grid-row: 2/3; grid-column: 3/4;"; "D) grid-row: 3/4; grid-column: 2/3;"";"A) grid-row: 2; grid-column: 3;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which Flexbox property is used to set the initial size of a flex item?";""A) flex-grow"; "B) flex-shrink"; "C) flex-basis"; "D) flex-wrap"";"C) flex-basis"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to specify the size of the gap between grid items?";""A) grid-gap"; "B) grid-space"; "C) grid-margin"; "D) grid-padding"";"A) grid-gap"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which Flexbox property is used to align a single flex item within a container?";""A) align-content"; "B) align-self"; "C) justify-content"; "D) flex-align"";"B) align-self"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"How can you make an element ignore the floating elements and appear below them?";""A) float: none;"; "B) clear: both;"; "C) display: block;"; "D) position: relative;"";"B) clear: both;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which value of flex-wrap in Flexbox allows items to wrap onto multiple lines if needed?";""A) wrap"; "B) nowrap"; "C) wrap-reverse"; "D) flex-wrap"";"A) wrap"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to define named grid areas?";""A) grid-areas"; "B) grid-template"; "C) grid-names"; "D) grid-area-names"";"A) grid-areas"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"What is the default value of flex-direction in Flexbox?";""A) row"; "B) column"; "C) row-reverse"; "D) column-reverse"";"A) row"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"How can you center a block-level element horizontally in CSS?";""A) margin: 0 auto;"; "B) text-align: center;"; "C) align: center;"; "D) justify-content: center;"";"A) margin: 0 auto;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which Flexbox property is used to distribute extra space along the main axis when items do not fill the container?";""A) justify-content"; "B) align-items"; "C) flex-grow"; "D) flex-shrink"";"A) justify-content"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to set the size of a grid track?";""A) grid-track"; "B) grid-template-rows/columns"; "C) grid-row/column"; "D) grid-gap"";"B) grid-template-rows/columns"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"How can you make a flex container arrange its items in a single row with the last item aligned to the right?";""A) flex-direction: row-reverse;"; "B) justify-content: flex-end;"; "C) align-items: flex-end;"; "D) align-content: flex-end;"";"B) justify-content: flex-end;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"What is the correct way to define a flex container in CSS?";""A) display: flex;"; "B) display: inline-flex;"; "C) flex: container;"; "D) flexbox-container: true;"";"A) display: flex;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to specify the minimum size of a grid track?";""A) min-track-size"; "B) grid-template-rows/columns"; "C) minmax()"; "D) grid-gap"";"C) minmax()"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"Which Flexbox property is used to align items along the cross axis when they do not take up all available space?";""A) align-items"; "B) align-content"; "C) align-self"; "D) justify-content"";"B) align-content"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"How can you make a flex container arrange its items in a column?";""A) flex-direction: column;"; "B) flex-direction: row;"; "C) flex-direction: column-reverse;"; "D) flex-direction: row-reverse;"";"A) flex-direction: column;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to set the starting and ending positions of an item?";""A) grid-start"; "B) grid-end"; "C) grid-row/column"; "D) grid-area"";"D) grid-area"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"What is the purpose of the order property in Flexbox?";""A) It changes the order of the flex items within the container."; "B) It sets the initial size of a flex item."; "C) It adjusts the spacing between flex items."; "D) It aligns flex items along the cross axis."";"A) It changes the order of the flex items within the container."
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to set the size of a grid column?";""A) grid-column-size"; "B) grid-template-columns"; "C) grid-column"; "D) grid-track-size"";"B) grid-template-columns"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"How can you make a flex container arrange its items from right to left?";""A) flex-direction: row-reverse;"; "B) justify-content: flex-end;"; "C) align-items: flex-end;"; "D) align-content: flex-end;"";"A) flex-direction: row-reverse;"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"In Grid layout, which property is used to set the size of a grid row?";""A) grid-row-size"; "B) grid-template-rows"; "C) grid-row"; "D) grid-track-size"";"B) grid-template-rows"
"CSS";"Layout & Responsive Design ";"Creating Layouts Floats and clear Flexbox and Grid layout";"What is the default value of flex-wrap in Flexbox?";""A) wrap"; "B) nowrap"; "C) wrap-reverse"; "D) flex-wrap"";"B) nowrap"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using media queries in CSS?";""A) To apply different styles based on screen size"; "B) To add images to a webpage"; "C) To create animations"; "D) To define JavaScript functions"";"A) To apply different styles based on screen size"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is commonly used to set the viewport width?";""A) width"; "B) viewport-width"; "C) initial-scale"; "D) device-width"";"C) initial-scale"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the mobile-first approach in web design?";""A) Designing for mobile devices first, then scaling up for larger screens"; "B) Designing for desktop computers first, then adapting for mobile devices"; "C) Ignoring mobile devices in web design"; "D) Designing for tablets first, then adapting for other devices"";"A) Designing for mobile devices first, then scaling up for larger screens"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS unit is commonly used for responsive design to ensure elements scale proportionally?";""A) px (pixels)"; "B) em"; "C) vw (viewport width)"; "D) %"";"B) em"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"When using a media query, what does max-width refer to?";""A) The maximum width of the viewport"; "B) The maximum width of the element"; "C) The minimum width of the viewport"; "D) The minimum width of the element"";"A) The maximum width of the viewport"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which media query expression targets devices with a screen width of 600 pixels or more?";""A) (min-width: 600px)"; "B) (max-width: 600px)"; "C) (screen-width >= 600px)"; "D) (screen-width <= 600px)"";"A) (min-width: 600px)"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"In CSS, what property is commonly used to hide an element on smaller screens?";""A) visibility"; "B) display"; "C) hidden"; "D) opacity"";"B) display"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which of the following is an example of a mobile-first CSS framework?";""A) Bootstrap"; "B) Foundation"; "C) Materialize"; "D) Bulma"";"A) Bootstrap"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the @media rule in CSS?";""A) To apply styles only when printing a webpage"; "B) To apply styles based on media type and conditions"; "C) To define keyframes for animations"; "D) To specify font styles"";"B) To apply styles based on media type and conditions"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to set a flexible, fluid layout based on percentages?";""A) flex"; "B) grid"; "C) float"; "D) width"";"D) width"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"In a mobile-first approach, which media query expression would be used to target larger screens?";""A) (min-width: 768px)"; "B) (max-width: 768px)"; "C) (min-width: 320px)"; "D) (max-width: 320px)"";"A) (min-width: 768px)"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS unit represents 1% of the viewport width?";""A) vw"; "B) vh"; "C) %w"; "D) vh%"";"A) vw"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"When using a mobile-first approach, which CSS rule would apply to all screen sizes by default?";""A) @media (min-width: 768px) { ... }"; "B) body { ... }"; "C) .container { ... }"; "D) .mobile-only { ... }"";"B) body { ... }"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is commonly used to create a flexible, responsive grid layout?";""A) grid-template"; "B) flexbox"; "C) grid-layout"; "D) float"";"B) flexbox"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the initial-scale property in a meta viewport tag?";""A) It sets the initial zoom level of the webpage"; "B) It sets the initial font size of the webpage"; "C) It sets the initial margin of the webpage"; "D) It sets the initial color scheme of the webpage"";"A) It sets the initial zoom level of the webpage"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to specify the order of flex items within a flex container?";""A) order"; "B) flex-order"; "C) flex-item-order"; "D) item-order"";"A) order"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"In a mobile-first approach, how would you target styles specifically for mobile devices?";""A) Use the default styles without any media query"; "B) Use a media query with max-width: 767px"; "C) Use a media query with min-width: 768px"; "D) Use a media query with min-width: 320px"";"A) Use the default styles without any media query"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to create a sticky header that remains at the top of the page as the user scrolls?";""A) position: fixed;"; "B) position: relative;"; "C) position: sticky;"; "D) position: absolute;"";"C) position: sticky;"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the @import rule in CSS?";""A) To import external JavaScript files"; "B) To import styles from another CSS file"; "C) To define keyframes for animations"; "D) To specify font styles"";"B) To import styles from another CSS file"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to control the layout of child elements within a flex container?";""A) flex-flow"; "B) flex-direction"; "C) justify-content"; "D) align-items"";"B) flex-direction"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"In a mobile-first approach, which media query expression would target styles for tablets and larger screens?";""A) (min-width: 768px)"; "B) (max-width: 768px)"; "C) (min-width: 320px)"; "D) (max-width: 320px)"";"A) (min-width: 768px)"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to create a responsive, multi-column layout?";""A) column-count"; "B) multi-column"; "C) flexbox"; "D) grid-template-columns"";"A) column-count"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the viewport meta tag in HTML?";""A) To define the screen resolution"; "B) To set the initial zoom level of the webpage"; "C) To specify the font size of the webpage"; "D) To define the background color of the webpage"";"B) To set the initial zoom level of the webpage"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"In CSS, which property is commonly used to add space between elements?";""A) margin"; "B) padding"; "C) space"; "D) gap"";"A) margin"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the flex-wrap property in a flex container?";""A) To control the direction of flex items"; "B) To specify the width of flex items"; "C) To control whether flex items should wrap to the next line"; "D) To determine the order of flex items"";"C) To control whether flex items should wrap to the next line"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which media query expression targets devices with a screen width of 320 pixels or less?";""A) (max-width: 320px)"; "B) (min-width: 320px)"; "C) (screen-width <= 320px)"; "D) (screen-width >= 320px)"";"A) (max-width: 320px)"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to vertically align elements within a flex container?";""A) align-items"; "B) justify-content"; "C) flex-direction"; "D) align-content"";"A) align-items"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the calc() function in CSS?";""A) To perform mathematical calculations within a style rule"; "B) To apply animations to elements"; "C) To define keyframes for animations"; "D) To specify font styles"";"A) To perform mathematical calculations within a style rule"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"Which CSS property is used to create a shadow effect around an element?";""A) box-shadow"; "B) text-shadow"; "C) shadow"; "D) element-shadow"";"A) box-shadow"
"CSS";"Layout & Responsive Design ";"Responsive Design Principles Media queries for different screen sizes Mobile-first approach";"What is the purpose of using the min-height property in CSS?";""A) To set the minimum height of an element"; "B) To define the maximum height of an element"; "C) To specify the height of the viewport"; "D) To create a gradient background"";"A) To set the minimum height of an element"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What is the primary purpose of Flexbox in CSS?";""A) Creating complex grid systems"; "B) Implementing advanced layout techniques"; "C) Creating flexible and responsive layouts"; "D) Styling text and fonts"";"C) Creating flexible and responsive layouts"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which CSS property is used to define the direction of the main axis in a flex container?";""A) flex-direction"; "B) main-axis"; "C) justify-content"; "D) align-items"";"A) flex-direction"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"In Flexbox, which property is used to align items along the cross axis?";""A) justify-content"; "B) align-items"; "C) align-content"; "D) flex-align"";"B) align-items"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which value of flex-direction creates a horizontal layout in Flexbox?";""A) row"; "B) column"; "C) row-reverse"; "D) column-reverse"";"A) row"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What does the flex-grow property determine in Flexbox?";""A) The ability of a flex item to grow relative to other items"; "B) The direction of the main axis"; "C) The alignment of items along the cross axis"; "D) The order of the flex item"";"A) The ability of a flex item to grow relative to other items"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which property is used to align a flex container's content along the main axis?";""A) justify-content"; "B) align-items"; "C) flex-align"; "D) justify-items"";"A) justify-content"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"In a grid layout, which property defines the number of columns an element should span?";""A) grid-row"; "B) grid-column"; "C) grid-template-columns"; "D) grid-column-span"";"B) grid-column"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What is the purpose of the fr unit in Grid layout?";""A) Fractional unit used for defining flexible grid tracks"; "B) Fixed unit for defining column widths"; "C) Percentage unit for defining grid gaps"; "D) Flexbox unit for item alignment"";"A) Fractional unit used for defining flexible grid tracks"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How do you create a gap between grid items in a grid container?";""A) Use the grid-gap property"; "B) Use the gap property"; "C) Use the margin property"; "D) Use the padding property"";"B) Use the gap property"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which property is used to specify the alignment of an item within a grid cell?";""A) justify-self"; "B) align-self"; "C) grid-item-align"; "D) item-align"";"A) justify-self"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What is the purpose of the place-items property in Grid layout?";""A) It is used to align grid items along the main axis."; "B) It is used to align grid items both along the block and inline axis."; "C) It is used to align the entire grid container within its parent container."; "D) It is used to control the size of grid items."";"B) It is used to align grid items both along the block and inline axis."
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which value of grid-template-columns will create a grid with three equal-width columns?";""A) 1fr 1fr 1fr"; "B) 1fr 2fr 1fr"; "C) 1fr 3fr 1fr"; "D) 1fr 1fr"";"A) 1fr 1fr 1fr"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"In Flexbox, which property is used to reorder flex items within a flex container?";""A) order"; "B) flex-order"; "C) reorder"; "D) flex-item-order"";"A) order"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How can you make a flex item take up all available space along the main axis in Flexbox?";""A) Set flex-grow to 1"; "B) Set flex-shrink to 0"; "C) Set flex-basis to 100%"; "D) Set flex to 1 0 auto"";"A) Set flex-grow to 1"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which CSS property is used to set the baseline alignment of grid items?";""A) align-items"; "B) align-content"; "C) align-self"; "D) baseline-align"";"C) align-self"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"In Flexbox, which property is used to control the distribution of extra space along the main axis?";""A) flex-grow"; "B) flex-shrink"; "C) flex-basis"; "D) flex-wrap"";"A) flex-grow"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How do you center a flex container's content both horizontally and vertically?";""A) justify-content: center; align-items: center;"; "B) align-content: center; justify-items: center;"; "C) align-items: center; justify-self: center;"; "D) justify-content: center; align-self: center;"";"A) justify-content: center; align-items: center;"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which property is used to create a gap between grid tracks in Grid layout?";""A) grid-gap"; "B) gap"; "C) grid-row-gap"; "D) grid-column-gap"";"B) gap"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How do you align the last item to the end of the main axis in a Flexbox container?";""A) Use flex-start on the last item"; "B) Use flex-end on the last item"; "C) Use align-self: flex-end on the last item"; "D) Use order: -1 on the last item"";"C) Use align-self: flex-end on the last item"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What does the grid-template-areas property allow you to do in Grid layout?";""A) Define the arrangement of grid items using named areas"; "B) Specify the number of rows in a grid container"; "C) Set the height of a grid container"; "D) Define the size of grid tracks"";"A) Define the arrangement of grid items using named areas"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How do you create a grid with 4 columns, where the first and last columns have a fixed width of 100px, and the middle columns take up equal remaining space?";""A) grid-template-columns: 100px 1fr 1fr 100px;"; "B) grid-template-columns: 1fr 1fr 1fr 1fr;"; "C) grid-template-columns: 1fr 100px 1fr 100px;"; "D) grid-template-columns: 100px 100px 1fr 1fr;"";"A) grid-template-columns: 100px 1fr 1fr 100px;"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What is the purpose of the grid-auto-flow property in Grid layout?";""A) It determines the flow direction of grid items within a container"; "B) It defines the size of grid items"; "C) It controls the distribution of extra space along the main axis"; "D) It sets the height of a grid container"";"A) It determines the flow direction of grid items within a container"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which property is used to create a gap between flex items in a Flexbox container?";""A) gap"; "B) flex-gap"; "C) margin"; "D) padding"";"A) gap"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How can you make a grid item span multiple rows in Grid layout?";""A) Use the grid-row property"; "B) Use the grid-row-start and grid-row-end properties"; "C) Use the grid-row-span property"; "D) Use the grid-row: span shorthand"";"B) Use the grid-row-start and grid-row-end properties"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"In Flexbox, how can you align a single flex item differently from the others in the same container?";""A) Use the align-self property on the specific item"; "B) Use the flex-order property on the specific item"; "C) Use the flex-basis property on the specific item"; "D) Use the order property on the specific item"";"A) Use the align-self property on the specific item"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"Which property is used to determine the spacing between lines of text within a flex container?";""A) line-height"; "B) font-spacing"; "C) letter-spacing"; "D) text-spacing"";"A) line-height"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What is the purpose of the grid-template-rows property in Grid layout?";""A) It defines the arrangement of grid items using named areas"; "B) It specifies the number of rows in a grid container"; "C) It sets the height of a grid container"; "D) It defines the size of grid tracks"";"B) It specifies the number of rows in a grid container"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"How do you align items along the block axis in a Flexbox container?";""A) align-items"; "B) justify-items"; "C) align-content"; "D) justify-content"";"A) align-items"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"What does the flex-shrink property do in Flexbox?";""A) Determines the ability of a flex item to grow relative to other items"; "B) Specifies the initial size of a flex item"; "C) Specifies the ability of a flex item to shrink relative to other items"; "D) Controls the distribution of extra space along the main axis"";"C) Specifies the ability of a flex item to shrink relative to other items"
"CSS";"Layout & Responsive Design ";"Flexbox and Grid Advanced layout techniques Creating complex grid systems";"In Grid layout, what is the purpose of the grid-column property?";""A) It specifies the number of columns an element should span"; "B) It determines the flow direction of grid items within a container"; "C) It defines the size of grid tracks"; "D) It sets the alignment of an item within a grid cell"";"A) It specifies the number of columns an element should span"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :hover pseudo-class target?";""A) Active elements"; "B) Elements when the mouse is over them"; "C) Elements that are being clicked"; "D) Elements with a specific class"";"B) Elements when the mouse is over them"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element when it is in focus?";""A) :active"; "B) :focus"; "C) :hover"; "D) :visited"";"B) :focus"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :nth-child pseudo-class allow you to do?";""A) Select elements based on their position in a parent element"; "B) Select the first child element"; "C) Select the last child element"; "D) Select all child elements"";"A) Select elements based on their position in a parent element"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element when it is the first child of its parent?";""A) :first-child"; "B) :last-child"; "C) :nth-child(1)"; "D) :only-child"";"A) :first-child"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :active pseudo-class target?";""A) Elements when they are being clicked"; "B) Elements when they are active in JavaScript"; "C) Elements that are currently visible"; "D) Elements with a specific class"";"A) Elements when they are being clicked"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is the last child of its parent?";""A) :first-child"; "B) :last-child"; "C) :nth-child(1)"; "D) :only-child"";"B) :last-child"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the ::before pseudo-element allow you to do?";""A) Insert content before the selected element"; "B) Style the first line of text in an element"; "C) Select the first child element"; "D) Insert content after the selected element"";"A) Insert content before the selected element"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-element is used to insert content after the selected element?";""A) ::before"; "B) ::after"; "C) ::first-line"; "D) ::last-line"";"B) ::after"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the ::first-line pseudo-element target?";""A) The first line of text in an element"; "B) The first child element"; "C) The last child element"; "D) The first element with a specific class"";"A) The first line of text in an element"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-element is used to style the first letter of a block-level element?";""A) ::first-letter"; "B) ::first-word"; "C) ::initial-letter"; "D) ::initial-word"";"A) ::first-letter"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the ::selection pseudo-element target?";""A) The selected text within an element"; "B) The first child element"; "C) The last child element"; "D) The first element with a specific class"";"A) The selected text within an element"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is the only child of its parent?";""A) :first-child"; "B) :last-child"; "C) :nth-child(1)"; "D) :only-child"";"D) :only-child"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :not() pseudo-class allow you to do?";""A) Exclude elements from being selected"; "B) Style elements with a specific class"; "C) Select the last child element"; "D) Select the first child element"";"A) Exclude elements from being selected"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is the nth child of its parent, counting from the last child?";""A) :nth-child"; "B) :nth-last-child"; "C) :nth-last-of-type"; "D) :last-child"";"B) :nth-last-child"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :empty pseudo-class target?";""A) Elements that are currently visible"; "B) Elements with no child elements or text content"; "C) Elements with a specific class"; "D) Elements with a specific attribute"";"B) Elements with no child elements or text content"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element when a user has visited a link?";""A) :link"; "B) :visited"; "C) :active"; "D) :hover"";"B) :visited"
